Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
44287149,The Great Pretender: The Undercover Mission That Changed Our Understanding of Madness,Susannah Cahalan,"Cahalan, Susannah",,"=""1538715287""","=""9781538715284""",0,3.63,Grand Central Publishing,Hardcover,382,2019,2019,,2020/12/06,to-read,to-read (#914),to-read,,,,0,,,0,,,,,
552494,The Psychology of Man's Possible Evolution,P.D. Ouspensky,"Ouspensky, P.D.",,"=""0394719433""","=""""",0,4.10,Vintage Books,Paperback,144,1973,1951,,2020/12/05,to-read,to-read (#913),to-read,,,,0,,,0,,,,,
588508,The Fourth Way,P.D. Ouspensky,"Ouspensky, P.D.",,"=""0394716728""","=""9780394716725""",0,4.21,Vintage,Paperback,480,1971,1971,,2020/12/05,to-read,to-read (#912),to-read,,,,0,,,0,,,,,
530903,In Search of the Miraculous: Fragments of an Unknown Teaching,P.D. Ouspensky,"Ouspensky, P.D.",Marianne Williamson,"=""0156007460""","=""9780156007467""",0,3.98,Mariner Books,Paperback,416,2001,1947,,2020/12/05,to-read,to-read (#911),to-read,,,,0,,,0,,,,,
554986,The Family: The Secret Fundamentalism at the Heart of American Power,Jeff Sharlet,"Sharlet, Jeff",,"=""0060559799""","=""9780060559793""",0,3.78,Harper,Hardcover,454,2008,2007,,2020/12/05,to-read,to-read (#910),to-read,,,,0,,,0,,,,,
477262,The Beginner's Guide to Meditation: How to Start Enjoying the Benefits of Meditation Immediately (Beginner's Series),Shinzen Young,"Young, Shinzen",,"=""1564559718""","=""9781564559715""",0,3.28,Sounds True,Audio CD,,,2001,,2020/12/05,to-read,to-read (#909),to-read,,,,0,,,0,,,,,
1663855,The Science of Enlightenment: Teachings and Meditations for Awakening Through Self-Investigation,Shinzen Young,"Young, Shinzen",,"=""1591792320""","=""9781591792321""",0,4.24,Sounds True,Audio CD,656,2005,1998,,2020/12/05,to-read,to-read (#908),to-read,,,,0,,,0,,,,,
51949252,"What's Your Problem?: To Solve Your Toughest Problems, Change the Problems You Solve",Thomas Wedell-Wedellsborg,"Wedell-Wedellsborg, Thomas",,"=""""","=""""",0,4.38,Harvard Business Review Press,Kindle Edition,232,2020,2020,,2020/12/04,to-read,to-read (#907),to-read,,,,0,,,0,,,,,
16605006,Consumer Culture and Postmodernism,Mike Featherstone,"Featherstone, Mike",,"=""1446225003""","=""9781446225004""",0,3.60,Sage Publications Ltd,ebook,232,2007,1990,,2020/12/04,to-read,to-read (#906),to-read,,,,0,,,0,,,,,
52838315,Greenlights,Matthew McConaughey,"McConaughey, Matthew",,"=""0593139135""","=""9780593139134""",0,4.33,Crown Publishing Group (NY),Hardcover,308,2020,2020,,2020/12/03,to-read,to-read (#905),to-read,,,,0,,,0,,,,,
6181,If This Is a Man • The Truce,Primo Levi,"Levi, Primo","Stuart J. Woolf, Paul Bailey","=""0349100136""","=""9780349100135""",0,4.57,Abacus,Paperback,453,1987,1947,,2020/12/02,to-read,to-read (#904),to-read,,,,0,,,0,,,,,
52957706,Bring Yourself: How to Harness the Power of Connection to Negotiate Fearlessly,Mori Taheripour,"Taheripour, Mori",,"=""052554030X""","=""9780525540304""",0,4.51,Avery Publishing Group,Hardcover,272,2020,2020,,2020/12/02,to-read,to-read (#903),to-read,,,,0,,,0,,,,,
31670587,The Patterning Instinct: A Cultural History of Humanity's Search for Meaning,Jeremy Lent,"Lent, Jeremy",Fritjof Capra,"=""1633882934""","=""9781633882935""",0,4.28,Prometheus Books,Hardcover,569,2017,2017,,2020/12/01,to-read,to-read (#902),to-read,,,,0,,,0,,,,,
824412,A Secular Age,Charles Taylor,"Taylor, Charles",,"=""0674026764""","=""9780674026766""",0,4.25,Belknap,Hardcover,874,2007,2007,,2020/11/30,to-read,to-read (#901),to-read,,,,0,,,0,,,,,
37858,Sources of the Self: The Making of the Modern Identity,Charles Taylor,"Taylor, Charles",,"=""0674824261""","=""9780674824263""",0,4.21,Harvard University Press,Paperback,624,1992,1989,,2020/11/30,to-read,to-read (#900),to-read,,,,0,,,0,,,,,
54711301,Chronic Pain Rehabilitation: Active pain management that helps you get back to the life you love,Evan Parks,"Parks, Evan",James Hudson,"=""""","=""""",0,4.60,,Kindle Edition,,2020,,,2020/11/29,to-read,to-read (#899),to-read,,,,0,,,0,,,,,
